customer_id,frequency,total_spent,total_profit,last_purchase,churn,age,gender,job_industry_category,wealth_segment,owns_car,avg_spend_per_trans,profit_margin,recency,high_value_cust,avg_spent_per_txn
1,11,9084.45,3018.09,2017-12-23,0,72,Female,Health,Mass Customer,Yes,825.8590909090909,0.33222594653501314,8,1,825.8590909090909
2,3,4149.07,2226.26,2017-08-24,1,44,Male,Financial Services,Mass Customer,Yes,1383.0233333333333,0.5365684358181473,129,0,1383.0233333333333
3,8,9888.23,3362.8100000000004,2017-09-19,1,71,Male,Property,Mass Customer,Yes,1236.02875,0.34008209760493036,103,1,1236.02875
4,2,1047.72,220.57,2017-06-18,1,64,Male,IT,Mass Customer,No,523.86,0.21052380406978963,196,0,523.86
5,6,5903.2,2394.94,2017-12-14,0,48,Female,missing,Affluent Customer,Yes,983.8666666666667,0.40570199213985636,17,0,983.8666666666667
6,5,5931.6900000000005,3946.55,2017-10-27,0,59,Male,Retail,High Net Worth,Yes,1186.3380000000002,0.6653331512604334,65,0,1186.3380000000002
7,3,995.38,220.10999999999999,2017-04-21,1,49,Female,Financial Services,Affluent Customer,Yes,331.79333333333335,0.22113162812192327,254,0,331.79333333333335
8,10,12024.759999999998,7066.94,2017-12-08,0,63,Male,missing,Mass Customer,No,1202.4759999999999,0.58769904763172,23,1,1202.4759999999999
9,6,5357.549999999999,2353.1099999999997,2017-10-13,0,52,Female,Argiculture,Affluent Customer,Yes,892.9249999999998,0.43921381974969903,79,0,892.9249999999998
10,5,5003.75,3358.28,2017-11-17,0,37,Female,Financial Services,Mass Customer,Yes,1000.75,0.6711526355233576,44,0,1000.75
11,6,6779.4400000000005,3638.84,2017-11-14,0,71,Male,Property,Mass Customer,No,1129.9066666666668,0.5367463979325726,47,0,1129.9066666666668
12,7,6394.21,3540.03,2017-10-24,0,31,Male,Manufacturing,Mass Customer,No,913.4585714285714,0.5536305501383283,68,0,913.4585714285714
13,7,7734.74,4337.38,2017-12-03,0,70,Male,Financial Services,High Net Worth,Yes,1104.962857142857,0.5607661020279933,28,0,1104.962857142857
14,3,2509.3900000000003,1713.9,2017-11-13,0,42,Female,Financial Services,Affluent Customer,No,836.4633333333335,0.6829946720119232,48,0,836.4633333333335
15,6,4923.34,1728.3900000000003,2017-11-25,0,25,Male,Manufacturing,Mass Customer,No,820.5566666666667,0.35106045895672455,36,0,820.5566666666667
16,5,7763.79,4521.839999999999,2017-09-22,1,48,Male,missing,Mass Customer,Yes,1552.758,0.5824268817162751,100,0,1552.758
17,5,4676.1900000000005,2015.61,2017-12-30,0,63,Male,missing,Affluent Customer,Yes,935.238,0.43103680560456265,1,0,935.238
18,7,8878.62,3543.38,2017-08-18,1,58,Female,missing,Affluent Customer,No,1268.3742857142859,0.39909130022458444,135,1,1268.3742857142859
19,3,4238.1900000000005,2951.79,2017-09-19,1,24,Female,Manufacturing,High Net Worth,No,1412.7300000000002,0.6964742024307545,103,0,1412.7300000000002
20,4,6618.86,3608.2799999999997,2017-11-29,0,45,Male,Manufacturing,Mass Customer,No,1654.715,0.545151279827644,32,0,1654.715
21,5,7446.21,4229.41,2017-12-24,0,45,Male,Manufacturing,Affluent Customer,Yes,1489.242,0.5679949934261859,7,0,1489.242
22,8,9546.35,5159.84,2017-09-24,1,62,Female,IT,Mass Customer,No,1193.29375,0.5405039622473511,98,1,1193.29375
23,6,6377.76,4376.15,2017-12-20,0,30,Male,missing,High Net Worth,Yes,1062.96,0.6861578359800306,11,0,1062.96
24,7,6885.51,3689.35,2017-12-13,0,47,Female,Argiculture,Mass Customer,Yes,983.6442857142857,0.5358136143873148,18,0,983.6442857142857
25,12,9996.33,5333.66,2017-12-25,0,48,Male,Financial Services,Mass Customer,Yes,833.0275,0.5335618171869075,6,1,833.0275
26,2,2245.85,268.2399999999999,2017-04-15,1,47,Female,Financial Services,Mass Customer,Yes,1122.925,0.11943807467105991,260,0,1122.925
27,7,7679.97,3274.25,2017-08-09,1,47,Male,Health,Mass Customer,Yes,1097.1385714285714,0.4263363007928416,144,0,1097.1385714285714
28,6,5492.900000000001,3366.5600000000004,2017-10-08,0,52,Male,Health,Affluent Customer,Yes,915.4833333333335,0.6128930073367438,84,0,915.4833333333335
29,9,10855.57,6175.299999999999,2017-12-08,0,57,Female,Manufacturing,Mass Customer,No,1206.1744444444444,0.56886004143495,23,1,1206.1744444444444
30,3,3736.5199999999995,2633.95,2017-12-19,0,64,Male,IT,Affluent Customer,Yes,1245.5066666666664,0.7049206213267961,12,0,1245.5066666666664
31,4,3110.0,426.10999999999996,2017-10-02,0,62,Female,Telecommunications,High Net Worth,Yes,777.5,0.1370128617363344,90,0,777.5
32,7,7873.18,2823.12,2017-08-14,1,30,Female,Manufacturing,Affluent Customer,No,1124.74,0.3585742990761039,139,0,1124.74
33,7,9384.23,5294.27,2017-11-22,0,68,Male,missing,Affluent Customer,Yes,1340.6042857142857,0.5641666924190903,39,1,1340.6042857142857
35,4,4182.28,3706.5099999999998,2017-09-29,1,62,Female,Health,High Net Worth,Yes,1045.57,0.8862414759413526,93,0,1045.57
36,2,1781.04,204.35999999999999,2017-07-20,1,47,Female,missing,Affluent Customer,No,890.52,0.11474194852445761,164,0,890.52
37,9,11291.71,6338.49,2017-12-23,0,39,Female,Health,High Net Worth,No,1254.6344444444444,0.5613401336024393,8,1,1254.6344444444444
38,4,4502.59,2025.34,2017-11-10,0,69,Female,Financial Services,Affluent Customer,No,1125.6475,0.449816661077291,51,0,1125.6475
39,12,11237.19,6085.17,2017-11-26,0,46,Male,Entertainment,Mass Customer,No,936.4325,0.5415206114695934,35,1,936.4325
40,6,6175.2699999999995,4552.099999999999,2017-12-16,0,43,Female,Manufacturing,Affluent Customer,No,1029.2116666666666,0.7371499545768848,15,0,1029.2116666666666
41,9,9114.15,4698.89,2017-12-01,0,49,Male,Health,Mass Customer,No,1012.6833333333333,0.5155598711893046,30,1,1012.6833333333333
42,4,1936.46,427.03999999999996,2017-09-10,1,48,Female,Manufacturing,Mass Customer,No,484.115,0.22052611466283836,112,0,484.115
43,9,6574.59,3619.95,2017-10-30,0,42,Female,Retail,Mass Customer,No,730.51,0.5505970714523643,62,0,730.51
44,7,7497.4,4768.28,2017-11-25,0,44,Male,Entertainment,Affluent Customer,Yes,1071.0571428571427,0.6359911435964468,36,0,1071.0571428571427
45,3,2912.33,1048.1499999999999,2017-11-17,0,50,Male,Financial Services,Mass Customer,No,970.7766666666666,0.35990083541356915,44,0,970.7766666666666
46,5,4923.139999999999,1623.6299999999997,2017-11-07,0,53,Female,missing,Affluent Customer,Yes,984.6279999999999,0.32979561824364123,54,0,984.6279999999999
47,7,8022.01,4332.19,2017-11-25,0,32,Male,Health,Affluent Customer,No,1146.0014285714285,0.5400379705335695,36,0,1146.0014285714285
48,8,9654.119999999999,5561.08,2017-10-09,0,50,Female,missing,Mass Customer,Yes,1206.7649999999999,0.5760317874648337,83,1,1206.7649999999999
49,5,7582.92,4248.68,2017-11-24,0,31,Male,missing,Affluent Customer,No,1516.584,0.5602960337178818,37,0,1516.584
50,8,9252.66,5783.66,2017-12-04,0,45,Male,Manufacturing,Mass Customer,Yes,1156.5825,0.6250807875789233,27,1,1156.5825
51,8,9667.460000000001,4855.400000000001,2017-11-05,0,65,Male,Retail,Mass Customer,No,1208.4325000000001,0.5022415401770476,56,1,1208.4325000000001
52,6,9779.71,5417.83,2017-12-26,0,37,Male,Financial Services,Mass Customer,Yes,1629.9516666666666,0.5539867746589623,5,1,1629.9516666666666
53,5,5472.74,2950.0699999999997,2017-12-23,0,71,Female,Financial Services,Mass Customer,No,1094.548,0.5390480819479821,8,0,1094.548
54,7,9813.66,4098.21,2017-10-24,0,59,Female,Property,Mass Customer,Yes,1401.9514285714286,0.4176026069784362,68,1,1401.9514285714286
55,8,6754.21,3220.86,2017-11-14,0,69,Male,Financial Services,Affluent Customer,Yes,844.27625,0.47686702071744885,47,0,844.27625
56,7,5060.86,1275.2399999999998,2017-12-28,0,29,Male,Property,Mass Customer,Yes,722.9799999999999,0.2519808886236726,3,0,722.9799999999999
57,6,8748.75,5117.96,2017-11-25,0,37,Male,missing,Mass Customer,Yes,1458.125,0.584993284754965,36,1,1458.125
58,8,6967.3099999999995,3501.37,2017-12-10,0,58,Female,Financial Services,Affluent Customer,Yes,870.9137499999999,0.5025425881724798,21,0,870.9137499999999
59,3,2797.47,2628.37,2017-12-08,0,25,Male,missing,High Net Worth,No,932.4899999999999,0.9395525242451215,23,0,932.4899999999999
60,2,1526.9,647.22,2017-06-13,1,55,Female,Manufacturing,Mass Customer,No,763.45,0.42387844652564016,201,0,763.45
61,6,7529.360000000001,4254.24,2017-11-13,0,65,Female,Property,High Net Worth,No,1254.8933333333334,0.5650201345134247,48,0,1254.8933333333334
62,6,5845.950000000001,4920.88,2017-12-25,0,46,Female,IT,Mass Customer,Yes,974.3250000000002,0.8417588244853274,6,0,974.3250000000002
63,3,4156.66,2190.05,2017-10-23,0,60,Female,Retail,Mass Customer,Yes,1385.5533333333333,0.5268773486404951,69,0,1385.5533333333333
64,5,4111.12,546.6799999999998,2017-12-27,0,47,Male,IT,High Net Worth,No,822.2239999999999,0.13297592870069466,4,0,822.2239999999999
65,6,8056.469999999999,4441.61,2017-08-16,1,49,Male,Financial Services,Affluent Customer,Yes,1342.745,0.5513096927066072,137,0,1342.745
66,5,6489.33,4549.2,2017-11-17,0,23,Male,Argiculture,High Net Worth,No,1297.866,0.7010276869877168,44,0,1297.866
67,5,5304.15,1203.2899999999997,2017-09-05,1,65,Male,Retail,Mass Customer,No,1060.83,0.2268582147940763,117,0,1060.83
68,3,5127.98,3842.5599999999995,2017-10-07,0,51,Female,missing,Affluent Customer,No,1709.3266666666666,0.7493320956790003,85,0,1709.3266666666666
69,6,8395.75,5294.75,2017-12-10,0,56,Female,missing,Mass Customer,No,1399.2916666666667,0.6306464580293601,21,1,1399.2916666666667
70,5,4801.11,2736.9,2017-12-26,0,32,Male,Financial Services,Affluent Customer,No,960.222,0.570055674625243,5,0,960.222
71,1,1415.01,155.6500000000001,2017-08-21,1,40,Male,Argiculture,Affluent Customer,Yes,1415.01,0.1099992226203349,132,0,1415.01
72,4,4048.85,2559.7799999999997,2017-12-08,0,53,Male,Manufacturing,Affluent Customer,Yes,1012.2125,0.6322239648295195,23,0,1012.2125
73,6,5265.87,2316.5099999999998,2017-07-15,1,65,Female,missing,Affluent Customer,Yes,877.645,0.4399102142665884,169,0,877.645
74,3,2985.64,966.5200000000001,2017-12-02,0,56,Female,missing,Mass Customer,Yes,995.2133333333333,0.323722886885224,29,0,995.2133333333333
75,8,7130.63,4979.94,2017-10-31,0,47,Female,Property,Mass Customer,No,891.32875,0.6983870990361299,61,0,891.32875
